Shekhawat,2016;Hsp25 NULL;Hsp60 P10809;Hsp70 NULL;Hsp90 NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kong,2016;IL-12A P29459;IL-27B Q14213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jacobs,2016;CRP P02741;Ferritin Q8TD27;serumamyloidP P02743;MCP-1 P13500;alpha-2-macroglobulin P01023;fibrinogen  P02671;tissueplasminogenactivator P00750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jacobs,2016;NCAM P13591;SAP P07602;IL-1B P01584;sCD40L P29965;IL-13  P35225;ApoA-1 P02647;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hasibuan,2015;OPN  P10451;TN-C  P24821;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Esterhuyse,2015;STAT1 P42224;STAT2 P52630;GSDMD P57764;GBP1 P32455;GBP3 Q9H0R5;GBP5 Q96PP8;IFIT2 P09913;NMI Q13287;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Li,2015;SHBG P04278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Achkar,2015;CD14 P08571;SEPP1 P49908;SELL P14151;TNXB P22105;LUM P51884;PEPD P12955;QSOX1 O00391;COMP P49747;APOC1 P02654;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Xu,2015;S100A9 P06702;SOD3 P08294;MMP9 P14780;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Song,2014;Alpha-1-antitrypsin P01009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lee,2015;CXCL9  Q07325;CXCL10 P02778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shekhawat,2014;Hsp25 NULL;Hsp70  NULL;Hsp90 NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cai,2014;C1q NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liu,2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Magryś,2013;TNFA  P01375;HMGB1 P09429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Feruglio,2013;MD-2  Q9Y6Y9;sCD14 P08571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shu,2013;DcR3  O95407;PGE2  NULL; lipoxin NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fu,2012;BacterialproteinUqhC  NULL;serumalbumin P02768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hong,2012;IP-10 P02778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Zhang,2012;alpha-1-acidglycoprotein P02763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sandhu ,2012;SAA NULL;transthyretin P02766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liu,2010;B0V386 NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agranoff,2006;serumamyloidAprotein  P35542;transthyretin P02766; neopterin  NULL;CRP P02741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ribeiro-Rodrigues ,2002;IFNG P01579;TNFA P01375;IL-8  P10145;IL-6 P05231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sutherland, 2012;IP-10 P02778;IL-10 P22301;IL-6 P05231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kalantri, 2011;IFNG P01579;ADA P00813;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mutavhatsindi, 2021;I.309 P22362;CRP  P02741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Varghese, 2019;siderocalin P80188;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chegou, 2016;CRP P02741;transthyretin P02766;IFNG P01579;complementfactorH P08603;Apolipoprotein-A1 P02647;IP-10  P02778;serumamyloidAprotein  P35542;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ahmad, 2019;IL-6 P05231;IL-8 P10145;IL-18 Q14116;VEGF P15692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mann, 2021;CRP P02741;NCAM P13591;Ferritin Q8TD27;CXCL8 P10145;GDF-15 Q99988;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chendi, 2021;G-CSF P09919;C3b/iC3b NULL;procalcitonin P01258;IP-10  P02778;PDGF-BB Q05028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Zhao, 2018;IP-10  P02778;RANTES Q9UBL2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Luo, 2019;MCP-1 P13500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Wergeland, 2017;IP-10  P02778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Azzurri, 2005;CXCL10  P02778;PTX3 P26022;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Moideen 2018;Adiponectin Q15848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
